Code,Name,Country,Ranking,Age
J.SINNER,Jannik Sinner,ITA Italy,1,23
C.ALCARAZ,Carlos Alcaraz,ESP Spain,2,22
A.ZVEREV,Alexander Zverev,GER Germany,3,28
T.FRITZ,Taylor Fritz,USA United States,4,27
J.DRAPER,Jack Draper,GBR Great Britain,5,23
N.DJOKOVIC,Novak Djokovic,SRB Serbia,6,37
C.RUUD,Casper Ruud,NOR Norway,7,26
L.MUSETTI,Lorenzo Musetti,ITA Italy,8,23
A.DE MINAUR,Alex De Minaur,AUS Australia,9,26
H.RUNE,Holger Rune,DEN Denmark,10,22
D.MEDVEDEV,Daniil Medvedev,,11,29
T.PAUL,Tommy Paul,USA United States,12,28
B.SHELTON,Ben Shelton,USA United States,13,22
A.FILS,Arthur Fils,FRA France,14,20
F.TIAFOE,Frances Tiafoe,USA United States,15,27
G.DIMITROV,Grigor Dimitrov,BUL Bulgaria,16,34
A.RUBLEV,Andrey Rublev,,17,27
F.CERUNDOLO,Francisco Cerundolo,ARG Argentina,18,26
J.MENSIK,Jakub Mensik,CZE Czech Republic,19,19
S.TSITSIPAS,Stefanos Tsitsipas,GRE Greece,20,26
T.MACHAC,Tomas Machac,CZE Czech Republic,21,24
U.HUMBERT,Ugo Humbert,FRA France,22,26
S.KORDA,Sebastian Korda,USA United States,23,24
K.KHACHANOV,Karen Khachanov,,24,28
A.POPYRIN,Alexei Popyrin,AUS Australia,25,25
A.DAVIDOVICH FOKINA,Alejandro Davidovich Fokina,ESP Spain,26,25
D.SHAPOVALOV,Denis Shapovalov,CAN Canada,27,26
M.BERRETTINI,Matteo Berrettini,ITA Italy,28,29
B.NAKASHIMA,Brandon Nakashima,USA United States,29,23
F.AUGER-ALIASSIME,Felix Auger-Aliassime,CAN Canada,30,24
H.HURKACZ,Hubert Hurkacz,POL Poland,31,28
G.MPETSHI PERRICARD,Giovanni Mpetshi Perricard,FRA France,32,21
A.MICHELSEN,Alex Michelsen,USA United States,33,20
T.GRIEKSPOOR,Tallon Griekspoor,NED Netherlands,34,28
F.COBOLLI,Flavio Cobolli,ITA Italy,35,23
S.BAEZ,Sebastian Baez,ARG Argentina,36,24
J.LEHECKA,Jiri Lehecka,CZE Czech Republic,37,23
J.THOMPSON,Jordan Thompson,AUS Australia,38,31
M.ARNALDI,Matteo Arnaldi,ITA Italy,39,24
A.MULLER,Alexandre Muller,FRA France,40,28
N.BORGES,Nuno Borges,POR Portugal,41,28
G.MONFILS,Gael Monfils,FRA France,42,38
M.GIRON,Marcos Giron,USA United States,43,31
L.SONEGO,Lorenzo Sonego,ITA Italy,44,30
L.DARDERI,Luciano Darderi,ITA Italy,45,23
M.KECMANOVIC,Miomir Kecmanovic,SRB Serbia,46,25
D.GOFFIN,David Goffin,BEL Belgium,47,34
P.MARTINEZ,Pedro Martinez,ESP Spain,48,28
Z.BERGS,Zizou Bergs,BEL Belgium,49,25
Q.HALYS,Quentin Halys,FRA France,50,28
A.BUBLIK,Alexander Bublik,KAZ Kazakhstan,51,27
C.UGO CARABELLI,Camilo Ugo Carabelli,ARG Argentina,52,25
G.DIALLO,Gabriel Diallo,CAN Canada,53,23
J.FEARNLEY,Jacob Fearnley,GBR Great Britain,54,23
TM.ETCHEVERRY,Tomas Martin Etcheverry,ARG Argentina,55,25
F.MAROZSAN,Fabian Marozsan,HUN Hungary,56,25
R.BAUTISTA AGUT,Roberto Bautista Agut,ESP Spain,57,37
J.MUNAR,Jaume Munar,ESP Spain,58,28
L.DJERE,Laslo Djere,SRB Serbia,59,29
B.BONZI,Benjamin Bonzi,FRA France,60,28
A.TABILO,Alejandro Tabilo,CHI Chile,61,27
K.NISHIKORI,Kei Nishikori,JPN Japan,62,35
R.CARBALLES BAENA,Roberto Carballes Baena,ESP Spain,63,32
F.COMESANA,Francisco Comesana,ARG Argentina,64,24
J.FONSECA,Joao Fonseca,BRA Brazil,65,18
D.ALTMAIER,Daniel Altmaier,GER Germany,66,26
L.TIEN,Learner Tien,USA United States,67,19
M.BELLUCCI,Mattia Bellucci,ITA Italy,68,23
D.DZUMHUR,Damir Dzumhur,BIH Bosnia and Herzegovina,69,32
Y.BU,Yunchaokete Bu,CHN China,70,23
A.RINDERKNECH,Arthur Rinderknech,FRA France,72,29
R.SAFIULLIN,Roman Safiullin,,73,27
H.GASTON,Hugo Gaston,FRA France,74,24
Y.NISHIOKA,Yoshihito Nishioka,JPN Japan,75,29
C.MOUTET,Corentin Moutet,FRA France,76,26
H.MEDJEDOVIC,Hamad Medjedovic,SRB Serbia,77,21
A.VUKIC,Aleksandar Vukic,AUS Australia,78,29
R.HIJIKATA,Rinky Hijikata,AUS Australia,79,24
A.KOVACEVIC,Aleksandar Kovacevic,USA United States,80,26
C.O'CONNELL,Christopher O'Connell,AUS Australia,82,30
R.COLLIGNON,Raphael Collignon,BEL Belgium,84,23
V.KOPRIVA,Vit Kopriva,CZE Czech Republic,85,27
JL.STRUFF,Jan-Lennard Struff,GER Germany,86,35
J.DE JONG,Jesper De Jong,NED Netherlands,87,24
K.MAJCHRZAK,Kamil Majchrzak,POL Poland,88,29
B.VAN DE ZANDSCHULP,Botic Van De Zandschulp,NED Netherlands,89,29
C.NORRIE,Cameron Norrie,GBR Great Britain,90,29
A.WALTON,Adam Walton,AUS Australia,91,26
J.DUCKWORTH,James Duckworth,AUS Australia,92,33
L.NARDI,Luca Nardi,ITA Italy,94,21
R.OPELKA,Reilly Opelka,USA United States,95,27
H.DELLIEN,Hugo Dellien,BOL Bolivia,96,31
M.NAVONE,Mariano Navone,ARG Argentina,98,24
M.MCDONALD,Mackenzie Mcdonald,USA United States,99,30
P.CARRENO BUSTA,Pablo Carreno Busta,ESP Spain,100,33
A.CAZAUX,Arthur Cazaux,FRA France,113,22
J.FARIA,Jaime Faria,POR Portugal,115,21
V.ROYER,Valentin Royer,FRA France,120,23
T.ATMANE,Terence Atmane,FRA France,121,23
D.LAJOVIC,Dusan Lajovic,SRB Serbia,124,34
T.SCHOOLKATE,Tristan Schoolkate,AUS Australia,127,24
S.OFNER,Sebastian Ofner,AUT Austria,128,29
T.MONTEIRO,Thiago Monteiro,BRA Brazil,130,30
M.FUCSOVICS,Marton Fucsovics,HUN Hungary,134,33
E.NAVA,Emilio Nava,USA United States,138,23
S.WAWRINKA,Stan Wawrinka,SUI Switzerland,139,40
F.PASSARO,Francesco Passaro,ITA Italy,140,24
PH.HERBERT,Pierre-Hugues Herbert,FRA France,149,34
N.JARRY,Nicolas Jarry,CHI Chile,150,29
J.BROOKSBY,Jenson Brooksby,USA United States,165,24
R.GASQUET,Richard Gasquet,FRA France,166,38
E.RUUSUVUORI,Emil Ruusuvuori,FIN Finland,254,26
